CVD_ID,Date_Published,Date_Modified,Vendor,Product,Attack_Vector,Attack_Complexity,User_Interaction,Privileges_Required,Confidentiality_Impact,Integrity_Impact,Availability_Impact
CVE-2018-0001,2018-01-10T22:29Z,2018-02-23T02:29Z,juniper,junos,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0002,2018-01-10T22:29Z,2018-02-15T16:58Z,juniper,junos,NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0003,2018-01-10T22:29Z,2018-07-12T01:29Z,juniper,junos,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0004,2018-01-10T22:29Z,2018-02-06T12:40Z,juniper,junos,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-0005,2018-01-10T22:29Z,2018-02-02T18:25Z,juniper,junos,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0006,2018-01-10T22:29Z,2018-02-15T14:35Z,juniper,junos,ADJACENT_NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0007,2018-01-10T22:29Z,2018-02-02T19:25Z,juniper,junos,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0008,2018-01-10T22:29Z,2018-02-06T12:42Z,juniper,junos,PHYSICAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-0009,2018-01-10T22:29Z,2018-02-15T17:41Z,juniper,junos,NETWORK,HIGH,NONE,NONE,NONE,HIGH,NONE
CVE-2018-0010,2018-01-10T22:29Z,2018-02-02T15:55Z,juniper,junos_space,NETWORK,LOW,NONE,LOW,NONE,HIGH,NONE
CVE-2018-0011,2018-01-10T22:29Z,2018-01-29T18:57Z,juniper,junos_space,NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE
CVE-2018-0012,2018-01-10T22:29Z,2018-01-30T14:42Z,juniper,junos_space,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0013,2018-01-10T22:29Z,2018-01-29T18:58Z,juniper,junos_space,NETWORK,LOW,NONE,LOW,HIGH,NONE,NONE
CVE-2018-0014,2018-01-10T22:29Z,2018-01-31T15:37Z,juniper,screenos,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE
CVE-2018-0015,2018-02-22T22:29Z,2018-04-12T01:29Z,juniper,appformix,NETWORK,HIGH,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0016,2018-04-11T19:29Z,2018-05-22T15:15Z,juniper,junos,NETWORK,HIGH,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0017,2018-04-11T19:29Z,2018-05-22T15:15Z,juniper,junos,NETWORK,LOW,NONE,LOW,NONE,NONE,HIGH
CVE-2018-0018,2018-04-11T19:29Z,2018-05-21T15:26Z,juniper,junos,NETWORK,HIGH,NONE,NONE,HIGH,NONE,NONE
CVE-2018-0019,2018-04-11T19:29Z,2018-05-21T15:29Z,juniper,junos,NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0020,2018-04-11T19:29Z,2018-05-21T15:31Z,juniper,junos,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0021,2018-04-11T19:29Z,2018-05-21T16:08Z,juniper,junos,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0022,2018-04-11T19:29Z,2018-05-21T16:09Z,juniper,junos,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0023,2018-04-11T19:29Z,2018-05-21T15:32Z,juniper,jsnapy,LOCAL,LOW,NONE,LOW,NONE,HIGH,NONE
