Attack_Vector,Attack_Complexity,User_Interaction,Privileges_Required,Confidentiality_Impact,Integrity_Impact,Availability_Impact,Count
NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,2394
NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE,853
NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,711
NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,656
NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE,638
LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH,525
NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE,486
NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH,296
NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,NONE,211
NETWORK,LOW,NONE,LOW,LOW,LOW,LOW,81
