Attack_Vector,Attack_Complexity,User_Interaction,Privileges_Required,Confidentiality_Impact,Integrity_Impact,Availability_Impact,Count
NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,937
NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE,668
NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,654
NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE,588
NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,554
NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH,530
LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH,483
NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE,440
LOCAL,LOW,REQUIRED,NONE,NONE,NONE,HIGH,389
NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH,333
LOCAL,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH,280
NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,NONE,186
NETWORK,HIGH,REQUIRED,NONE,HIGH,HIGH,HIGH,153
NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH,142
LOCAL,HIGH,NONE,LOW,HIGH,NONE,NONE,134
NETWORK,LOW,NONE,NONE,NONE,LOW,NONE,133
NETWORK,HIGH,NONE,NONE,HIGH,HIGH,HIGH,91
NETWORK,LOW,NONE,LOW,NONE,HIGH,NONE,68
NETWORK,LOW,NONE,LOW,HIGH,HIGH,NONE,41
NETWORK,LOW,REQUIRED,NONE,HIGH,LOW,NONE,25
NETWORK,HIGH,NONE,NONE,HIGH,HIGH,NONE,20
LOCAL,LOW,NONE,NONE,HIGH,HIGH,NONE,2
