Attack_Vector,Attack_Complexity,User_Interaction,Privileges_Required,Confidentiality_Impact,Integrity_Impact,Availability_Impact,Count
NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,905
NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE,557
NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE,534
NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH,500
LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH,394
NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,356
NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH,295
LOCAL,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH,277
NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,271
NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE,242
NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH,143
LOCAL,LOW,REQUIRED,NONE,NONE,NONE,HIGH,136
NETWORK,LOW,NONE,NONE,LOW,NONE,NONE,136
NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,NONE,127
NETWORK,HIGH,REQUIRED,NONE,HIGH,HIGH,HIGH,126
NETWORK,LOW,REQUIRED,HIGH,LOW,LOW,NONE,120
NETWORK,LOW,NONE,LOW,HIGH,NONE,NONE,91
NETWORK,HIGH,NONE,NONE,HIGH,HIGH,HIGH,81
NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH,80
LOCAL,HIGH,NONE,LOW,HIGH,HIGH,HIGH,61
LOCAL,LOW,NONE,LOW,NONE,NONE,HIGH,60
NETWORK,LOW,NONE,LOW,NONE,NONE,HIGH,58
LOCAL,LOW,NONE,LOW,HIGH,NONE,NONE,51
NETWORK,LOW,NONE,LOW,LOW,NONE,NONE,44
LOCAL,HIGH,NONE,LOW,HIGH,NONE,NONE,42
NETWORK,LOW,REQUIRED,NONE,NONE,HIGH,NONE,42
NETWORK,LOW,REQUIRED,NONE,LOW,NONE,NONE,38
NETWORK,LOW,NONE,LOW,HIGH,HIGH,NONE,37
NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH,35
NETWORK,LOW,NONE,HIGH,NONE,NONE,HIGH,35
NETWORK,LOW,NONE,NONE,NONE,LOW,NONE,35
NETWORK,HIGH,NONE,NONE,HIGH,NONE,NONE,33
NETWORK,LOW,NONE,LOW,NONE,HIGH,NONE,31
LOCAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH,30
LOCAL,LOW,REQUIRED,NONE,HIGH,NONE,NONE,30
NETWORK,LOW,NONE,NONE,HIGH,HIGH,NONE,29
NETWORK,LOW,NONE,LOW,LOW,LOW,NONE,26
LOCAL,LOW,NONE,LOW,LOW,LOW,LOW,24
NETWORK,HIGH,NONE,LOW,HIGH,HIGH,HIGH,23
NETWORK,LOW,NONE,NONE,NONE,NONE,LOW,23
LOCAL,HIGH,REQUIRED,NONE,HIGH,HIGH,HIGH,19
NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,LOW,17
ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,17
NETWORK,HIGH,NONE,LOW,HIGH,NONE,NONE,16
LOCAL,LOW,REQUIRED,NONE,NONE,HIGH,NONE,16
LOCAL,LOW,NONE,LOW,NONE,HIGH,NONE,15
PHYSICAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,15
NETWORK,LOW,NONE,NONE,LOW,LOW,LOW,15
NETWORK,LOW,NONE,LOW,NONE,LOW,NONE,14
NETWORK,HIGH,NONE,NONE,NONE,HIGH,NONE,14
NETWORK,LOW,REQUIRED,NONE,NONE,LOW,NONE,14
NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,HIGH,14
NETWORK,HIGH,NONE,LOW,NONE,NONE,HIGH,14
